RegionName,State,CountyName,Month,AverageHomePrice,Date
Phoenix,AZ,Maricopa,1996-04,87200.0,1996-04-01
Tucson,AZ,Pima,1996-04,91500.0,1996-04-01
Mesa,AZ,Maricopa,1996-04,96400.0,1996-04-01
Chandler,AZ,Maricopa,1996-04,123600.0,1996-04-01
Glendale,AZ,Maricopa,1996-04,96200.0,1996-04-01
Gilbert,AZ,Maricopa,1996-04,128800.0,1996-04-01
Scottsdale,AZ,Maricopa,1996-04,177500.0,1996-04-01
Tempe,AZ,Maricopa,1996-04,95400.0,1996-04-01
Peoria,AZ,Maricopa,1996-04,116700.0,1996-04-01
Yuma,AZ,Yuma,1996-04,87100.0,1996-04-01
Queen Creek,AZ,Pinal,1996-04,,1996-04-01
Surprise,AZ,Maricopa,1996-04,116800.0,1996-04-01
Flagstaff,AZ,Coconino,1996-04,140700.0,1996-04-01
San Tan Valley,AZ,Pinal,1996-04,,1996-04-01
Casa Grande,AZ,Pinal,1996-04,80500.0,1996-04-01
Avondale,AZ,Maricopa,1996-04,100300.0,1996-04-01
Goodyear,AZ,Maricopa,1996-04,125300.0,1996-04-01
Lake Havasu City,AZ,Mohave,1996-04,88700.0,1996-04-01
Prescott,AZ,Yavapai,1996-04,150600.0,1996-04-01
Sierra Vista,AZ,Cochise,1996-04,103300.0,1996-04-01
Kingman,AZ,Mohave,1996-04,77400.0,1996-04-01
Buckeye,AZ,Maricopa,1996-04,,1996-04-01
Apache Junction,AZ,Pinal,1996-04,73200.0,1996-04-01
Oro Valley,AZ,Pima,1996-04,159800.0,1996-04-01
Anthem,AZ,Maricopa,1996-04,152300.0,1996-04-01
Sun City,AZ,Maricopa,1996-04,83200.0,1996-04-01
Bullhead City,AZ,Mohave,1996-04,92900.0,1996-04-01
Prescott Valley,AZ,Yavapai,1996-04,91500.0,1996-04-01
El Mirage,AZ,Maricopa,1996-04,77800.0,1996-04-01
Catalina Foothills,AZ,Pima,1996-04,209000.0,1996-04-01
Sun City West,AZ,Maricopa,1996-04,129900.0,1996-04-01
Somerton,AZ,Yuma,1996-04,71100.0,1996-04-01
Cottonwood,AZ,Yavapai,1996-04,92800.0,1996-04-01
Nogales,AZ,Santa Cruz,1996-04,78300.0,1996-04-01
Florence,AZ,Pinal,1996-04,,1996-04-01
Douglas,AZ,Cochise,1996-04,49500.0,1996-04-01
Sahuarita,AZ,Pima,1996-04,110900.0,1996-04-01
Fountain Hills,AZ,Maricopa,1996-04,168300.0,1996-04-01
Green Valley,AZ,Pima,1996-04,114700.0,1996-04-01
Tanque Verde,AZ,Pima,1996-04,196200.0,1996-04-01
Sedona,AZ,Yavapai,1996-04,203200.0,1996-04-01
San Luis,AZ,Yuma,1996-04,67900.0,1996-04-01
Eloy,AZ,Pinal,1996-04,,1996-04-01
Marana,AZ,Pima,1996-04,127900.0,1996-04-01
Show Low,AZ,Navajo,1996-04,,1996-04-01
Flowing Wells,AZ,Pima,1996-04,72900.0,1996-04-01
Rio Rico,AZ,Santa Cruz,1996-04,82100.0,1996-04-01
Safford,AZ,Graham,1996-04,68800.0,1996-04-01
Winslow,AZ,Navajo,1996-04,53100.0,1996-04-01
Coolidge,AZ,Pinal,1996-04,61400.0,1996-04-01
Tucson Estates,AZ,Pima,1996-04,112400.0,1996-04-01
Chino Valley,AZ,Yavapai,1996-04,112800.0,1996-04-01
Camp Verde,AZ,Yavapai,1996-04,94500.0,1996-04-01
Globe,AZ,Gila,1996-04,64200.0,1996-04-01
Paradise Valley,AZ,Maricopa,1996-04,,1996-04-01
Payson,AZ,Gila,1996-04,110600.0,1996-04-01
Parker,AZ,La Paz,1996-04,,1996-04-01
Litchfield Park,AZ,Maricopa,1996-04,128700.0,1996-04-01
Benson,AZ,Cochise,1996-04,75700.0,1996-04-01
Hereford,AZ,Cochise,1996-04,114900.0,1996-04-01
Willcox,AZ,Cochise,1996-04,49000.0,1996-04-01
Gold Canyon,AZ,Pinal,1996-04,125600.0,1996-04-01
Bisbee,AZ,Cochise,1996-04,57300.0,1996-04-01
Page,AZ,Coconino,1996-04,121800.0,1996-04-01
Huachuca City,AZ,Cochise,1996-04,69000.0,1996-04-01
Tolleson,AZ,Maricopa,1996-04,65200.0,1996-04-01
Williams,AZ,Coconino,1996-04,99300.0,1996-04-01
Mohave Valley,AZ,Mohave,1996-04,84900.0,1996-04-01
Tortolita,AZ,Pima,1996-04,176300.0,1996-04-01
Wickenburg,AZ,Maricopa,1996-04,136600.0,1996-04-01
South Tucson,AZ,Pima,1996-04,48400.0,1996-04-01
Catalina,AZ,Pima,1996-04,144300.0,1996-04-01
Golden Valley,AZ,Mohave,1996-04,66100.0,1996-04-01
Valencia West,AZ,Pima,1996-04,95600.0,1996-04-01
Pinetop,AZ,Navajo,1996-04,132500.0,1996-04-01
Lakeside,AZ,Navajo,1996-04,88000.0,1996-04-01
Miami,AZ,Gila,1996-04,,1996-04-01
Cave Creek,AZ,Maricopa,1996-04,261900.0,1996-04-01
Wellton,AZ,Yuma,1996-04,,1996-04-01
Thatcher,AZ,Graham,1996-04,85800.0,1996-04-01
Snowflake,AZ,Navajo,1996-04,76400.0,1996-04-01
San Manuel,AZ,Pinal,1996-04,55100.0,1996-04-01
Three Points,AZ,Pima,1996-04,91200.0,1996-04-01
Rimrock,AZ,Yavapai,1996-04,88600.0,1996-04-01
New River,AZ,Maricopa,1996-04,147600.0,1996-04-01
Drexel-Alvernon,AZ,Pima,1996-04,69900.0,1996-04-01
Clarkdale,AZ,Yavapai,1996-04,114100.0,1996-04-01
Heber,AZ,Navajo,1996-04,85300.0,1996-04-01
Carefree,AZ,Maricopa,1996-04,326000.0,1996-04-01
Cornville,AZ,Yavapai,1996-04,117800.0,1996-04-01
Superior,AZ,Pinal,1996-04,43100.0,1996-04-01
Oracle,AZ,Pinal,1996-04,84700.0,1996-04-01
Amado,AZ,Pima,1996-04,80500.0,1996-04-01
Paulden,AZ,Yavapai,1996-04,94300.0,1996-04-01
Quartzsite,AZ,La Paz,1996-04,,1996-04-01
Rio Verde,AZ,Maricopa,1996-04,247500.0,1996-04-01
Pearce,AZ,Cochise,1996-04,61400.0,1996-04-01
Pine,AZ,Gila,1996-04,96200.0,1996-04-01
Kearny,AZ,Pinal,1996-04,,1996-04-01
Youngtown,AZ,Maricopa,1996-04,56300.0,1996-04-01
Pima,AZ,Graham,1996-04,75200.0,1996-04-01
Patagonia,AZ,Santa Cruz,1996-04,,1996-04-01
Vail,AZ,Pima,1996-04,139500.0,1996-04-01
Corona de Tucson,AZ,Pima,1996-04,120200.0,1996-04-01
Mayer,AZ,Yavapai,1996-04,68200.0,1996-04-01
Dewey-Humboldt,AZ,Yavapai,1996-04,114000.0,1996-04-01
Kirkland,AZ,Yavapai,1996-04,,1996-04-01
Black Canyon City,AZ,Yavapai,1996-04,73800.0,1996-04-01
Eagar,AZ,Apache,1996-04,,1996-04-01
Tombstone,AZ,Cochise,1996-04,67400.0,1996-04-01
Clifton,AZ,Greenlee,1996-04,28800.0,1996-04-01
Happy Jack,AZ,Coconino,1996-04,111000.0,1996-04-01
Saint David,AZ,Cochise,1996-04,78400.0,1996-04-01
Sonoita,AZ,Santa Cruz,1996-04,162300.0,1996-04-01
Star Valley,AZ,Gila,1996-04,92800.0,1996-04-01
Littletown,AZ,Pima,1996-04,,1996-04-01
Munds Park,AZ,Coconino,1996-04,122500.0,1996-04-01
Tubac,AZ,Santa Cruz,1996-04,153500.0,1996-04-01
Forest Lakes,AZ,Coconino,1996-04,111900.0,1996-04-01
Overgaard,AZ,Navajo,1996-04,,1996-04-01
Phoenix,AZ,Maricopa,1996-05,87700.0,1996-05-01
Tucson,AZ,Pima,1996-05,91500.0,1996-05-01
Mesa,AZ,Maricopa,1996-05,96700.0,1996-05-01
Chandler,AZ,Maricopa,1996-05,124000.0,1996-05-01
Glendale,AZ,Maricopa,1996-05,96400.0,1996-05-01
Gilbert,AZ,Maricopa,1996-05,129300.0,1996-05-01
Scottsdale,AZ,Maricopa,1996-05,177700.0,1996-05-01
Tempe,AZ,Maricopa,1996-05,95900.0,1996-05-01
Peoria,AZ,Maricopa,1996-05,117000.0,1996-05-01
Yuma,AZ,Yuma,1996-05,87400.0,1996-05-01
Queen Creek,AZ,Pinal,1996-05,,1996-05-01
Surprise,AZ,Maricopa,1996-05,116500.0,1996-05-01
Flagstaff,AZ,Coconino,1996-05,141000.0,1996-05-01
San Tan Valley,AZ,Pinal,1996-05,,1996-05-01
Casa Grande,AZ,Pinal,1996-05,82500.0,1996-05-01
Avondale,AZ,Maricopa,1996-05,100700.0,1996-05-01
Goodyear,AZ,Maricopa,1996-05,124500.0,1996-05-01
Lake Havasu City,AZ,Mohave,1996-05,88800.0,1996-05-01
Prescott,AZ,Yavapai,1996-05,150700.0,1996-05-01
Sierra Vista,AZ,Cochise,1996-05,102400.0,1996-05-01
Kingman,AZ,Mohave,1996-05,77400.0,1996-05-01
Buckeye,AZ,Maricopa,1996-05,,1996-05-01
Apache Junction,AZ,Pinal,1996-05,75000.0,1996-05-01
Oro Valley,AZ,Pima,1996-05,159300.0,1996-05-01
Anthem,AZ,Maricopa,1996-05,151200.0,1996-05-01
Sun City,AZ,Maricopa,1996-05,83900.0,1996-05-01
Bullhead City,AZ,Mohave,1996-05,92100.0,1996-05-01
Prescott Valley,AZ,Yavapai,1996-05,92600.0,1996-05-01
El Mirage,AZ,Maricopa,1996-05,78500.0,1996-05-01
Catalina Foothills,AZ,Pima,1996-05,209400.0,1996-05-01
Sun City West,AZ,Maricopa,1996-05,129600.0,1996-05-01
Somerton,AZ,Yuma,1996-05,70200.0,1996-05-01
Cottonwood,AZ,Yavapai,1996-05,93400.0,1996-05-01
Nogales,AZ,Santa Cruz,1996-05,78200.0,1996-05-01
Florence,AZ,Pinal,1996-05,,1996-05-01
Douglas,AZ,Cochise,1996-05,49500.0,1996-05-01
Sahuarita,AZ,Pima,1996-05,110400.0,1996-05-01
Fountain Hills,AZ,Maricopa,1996-05,169000.0,1996-05-01
Green Valley,AZ,Pima,1996-05,114500.0,1996-05-01
Tanque Verde,AZ,Pima,1996-05,196800.0,1996-05-01
Sedona,AZ,Yavapai,1996-05,204500.0,1996-05-01
San Luis,AZ,Yuma,1996-05,66900.0,1996-05-01
Eloy,AZ,Pinal,1996-05,,1996-05-01
Marana,AZ,Pima,1996-05,127900.0,1996-05-01
Show Low,AZ,Navajo,1996-05,,1996-05-01
Flowing Wells,AZ,Pima,1996-05,73400.0,1996-05-01
Rio Rico,AZ,Santa Cruz,1996-05,83300.0,1996-05-01
Safford,AZ,Graham,1996-05,69700.0,1996-05-01
Winslow,AZ,Navajo,1996-05,52700.0,1996-05-01
Coolidge,AZ,Pinal,1996-05,61300.0,1996-05-01
Tucson Estates,AZ,Pima,1996-05,115900.0,1996-05-01
Chino Valley,AZ,Yavapai,1996-05,112600.0,1996-05-01
Camp Verde,AZ,Yavapai,1996-05,94100.0,1996-05-01
Globe,AZ,Gila,1996-05,63600.0,1996-05-01
Paradise Valley,AZ,Maricopa,1996-05,,1996-05-01
Payson,AZ,Gila,1996-05,112200.0,1996-05-01
Parker,AZ,La Paz,1996-05,,1996-05-01
Litchfield Park,AZ,Maricopa,1996-05,129700.0,1996-05-01
Benson,AZ,Cochise,1996-05,75000.0,1996-05-01
Hereford,AZ,Cochise,1996-05,114200.0,1996-05-01
Willcox,AZ,Cochise,1996-05,50100.0,1996-05-01
Gold Canyon,AZ,Pinal,1996-05,128800.0,1996-05-01
Bisbee,AZ,Cochise,1996-05,57300.0,1996-05-01
Page,AZ,Coconino,1996-05,122300.0,1996-05-01
Huachuca City,AZ,Cochise,1996-05,68100.0,1996-05-01
Tolleson,AZ,Maricopa,1996-05,63900.0,1996-05-01
Williams,AZ,Coconino,1996-05,99400.0,1996-05-01
Mohave Valley,AZ,Mohave,1996-05,83700.0,1996-05-01
Tortolita,AZ,Pima,1996-05,178300.0,1996-05-01
Wickenburg,AZ,Maricopa,1996-05,136400.0,1996-05-01
South Tucson,AZ,Pima,1996-05,48100.0,1996-05-01
Catalina,AZ,Pima,1996-05,144700.0,1996-05-01
Golden Valley,AZ,Mohave,1996-05,64600.0,1996-05-01
Valencia West,AZ,Pima,1996-05,96800.0,1996-05-01
Pinetop,AZ,Navajo,1996-05,136400.0,1996-05-01
Lakeside,AZ,Navajo,1996-05,88600.0,1996-05-01
Miami,AZ,Gila,1996-05,,1996-05-01
Cave Creek,AZ,Maricopa,1996-05,252400.0,1996-05-01
Wellton,AZ,Yuma,1996-05,,1996-05-01
Thatcher,AZ,Graham,1996-05,86700.0,1996-05-01
Snowflake,AZ,Navajo,1996-05,74600.0,1996-05-01
San Manuel,AZ,Pinal,1996-05,55300.0,1996-05-01
Three Points,AZ,Pima,1996-05,91100.0,1996-05-01
Rimrock,AZ,Yavapai,1996-05,88700.0,1996-05-01
New River,AZ,Maricopa,1996-05,145500.0,1996-05-01
Drexel-Alvernon,AZ,Pima,1996-05,68500.0,1996-05-01
Clarkdale,AZ,Yavapai,1996-05,116400.0,1996-05-01
Heber,AZ,Navajo,1996-05,84500.0,1996-05-01
Carefree,AZ,Maricopa,1996-05,317800.0,1996-05-01
Cornville,AZ,Yavapai,1996-05,119100.0,1996-05-01
Superior,AZ,Pinal,1996-05,42700.0,1996-05-01
Oracle,AZ,Pinal,1996-05,84000.0,1996-05-01
Amado,AZ,Pima,1996-05,81300.0,1996-05-01
Paulden,AZ,Yavapai,1996-05,95200.0,1996-05-01
Quartzsite,AZ,La Paz,1996-05,,1996-05-01
Rio Verde,AZ,Maricopa,1996-05,247600.0,1996-05-01
Pearce,AZ,Cochise,1996-05,61600.0,1996-05-01
Pine,AZ,Gila,1996-05,97200.0,1996-05-01
Kearny,AZ,Pinal,1996-05,,1996-05-01
Youngtown,AZ,Maricopa,1996-05,55400.0,1996-05-01
Pima,AZ,Graham,1996-05,76000.0,1996-05-01
Patagonia,AZ,Santa Cruz,1996-05,,1996-05-01
Vail,AZ,Pima,1996-05,140100.0,1996-05-01
Corona de Tucson,AZ,Pima,1996-05,119900.0,1996-05-01
Mayer,AZ,Yavapai,1996-05,69300.0,1996-05-01
Dewey-Humboldt,AZ,Yavapai,1996-05,115100.0,1996-05-01
Kirkland,AZ,Yavapai,1996-05,,1996-05-01
Black Canyon City,AZ,Yavapai,1996-05,74500.0,1996-05-01
Eagar,AZ,Apache,1996-05,,1996-05-01
Tombstone,AZ,Cochise,1996-05,67800.0,1996-05-01
Clifton,AZ,Greenlee,1996-05,28600.0,1996-05-01
Happy Jack,AZ,Coconino,1996-05,110400.0,1996-05-01
Saint David,AZ,Cochise,1996-05,78900.0,1996-05-01
Sonoita,AZ,Santa Cruz,1996-05,164600.0,1996-05-01
Star Valley,AZ,Gila,1996-05,93800.0,1996-05-01
Littletown,AZ,Pima,1996-05,,1996-05-01
Munds Park,AZ,Coconino,1996-05,122300.0,1996-05-01
Tubac,AZ,Santa Cruz,1996-05,154700.0,1996-05-01
Forest Lakes,AZ,Coconino,1996-05,112200.0,1996-05-01
Overgaard,AZ,Navajo,1996-05,,1996-05-01
Phoenix,AZ,Maricopa,1996-06,88200.0,1996-06-01
Tucson,AZ,Pima,1996-06,91600.0,1996-06-01
Mesa,AZ,Maricopa,1996-06,97100.0,1996-06-01
Chandler,AZ,Maricopa,1996-06,124400.0,1996-06-01
Glendale,AZ,Maricopa,1996-06,96800.0,1996-06-01
Gilbert,AZ,Maricopa,1996-06,130000.0,1996-06-01
Scottsdale,AZ,Maricopa,1996-06,178000.0,1996-06-01
Tempe,AZ,Maricopa,1996-06,96300.0,1996-06-01
Peoria,AZ,Maricopa,1996-06,117500.0,1996-06-01
